"Ano","Municipio_COD-IBGE","Municipio_Nome","UF","Quantidade_Acidentes_com_CAT_Tipicos","Quantidade_Acidentes_com_CAT_Trajeto","Quantidade_Acidentes_com_CAT_Doenca_Profissional","Quantidade_Obitos","Quantidade_Acidentes_Sem_CAT"
2009,160027,"LARANJAL DO JARI","AP",4,3,0,0,42
2009,160030,"MACAPA","AP",287,110,5,2,90
2009,160040,"MAZAGAO","AP",2,1,0,0,0
2009,160050,"OIAPOQUE","AP",2,2,0,0,0
2009,160053,"PORTO GRANDE","AP",18,5,0,0,0
2009,160060,"SANTANA","AP",43,15,2,1,19
2009,160070,"TARTARUGALZINHO","AP",8,0,0,0,0
2009,160080,"VITORIA DO JARI","AP",3,3,0,0,0
2009,170000,"IGNORADO TOCANTINS","TO",4,1,0,0,0
2009,170025,"ABREULANDIA","TO",0,1,0,0,0
2009,170030,"AGUIARNOPOLIS","TO",7,2,0,1,0
2009,170035,"ALIANCA DO TOCANTINS","TO",4,1,0,0,0
2009,170040,"ALMAS","TO",1,0,0,0,0
2009,170070,"ALVORADA","TO",24,3,0,1,0
2009,170100,"ANANAS","TO",6,0,0,0,0
2009,170105,"ANGICO","TO",1,0,0,0,0
2009,170190,"ARAGUACEMA","TO",2,0,0,0,0
2009,170200,"ARAGUACU","TO",16,1,0,0,0
2009,170210,"ARAGUAINA","TO",133,42,3,1,452
2009,170215,"ARAGUANA","TO",2,2,0,0,0
2009,170220,"ARAGUATINS","TO",14,3,0,0,53
2009,170230,"ARAPOEMA","TO",3,3,0,0,0
2009,170240,"ARRAIAS","TO",4,2,0,0,23
2009,170255,"AUGUSTINOPOLIS","TO",2,1,0,0,0
2009,170270,"AURORA DO TOCANTINS","TO",1,0,0,0,0
2009,170290,"AXIXA DO TOCANTINS","TO",1,0,1,0,0
2009,170300,"BABACULANDIA","TO",22,0,0,0,0
2009,170307,"BARRA DO OURO","TO",1,0,0,0,0
2009,170310,"BARROLANDIA","TO",3,0,0,0,0
2009,170320,"BERNARDO SAYAO","TO",2,0,0,0,0
2009,170330,"BOM JESUS DO TOCANTINS","TO",1,1,0,0,0
2009,170360,"BRASILANDIA DO TOCANTINS","TO",1,0,0,0,0
2009,170370,"BREJINHO DE NAZARE","TO",5,2,0,0,0
2009,170382,"CACHOEIRINHA","TO",1,0,0,0,0
2009,170384,"CAMPOS LINDOS","TO",1,0,1,0,0
2009,170386,"CARIRI DO TOCANTINS","TO",7,0,0,0,0
2009,170388,"CARMOLANDIA","TO",1,0,0,0,0
